VigenciaPPA,MacroObjetivo,UnidadeOrcamentaria,AreaDescricao,Programa,ProgramaResumo,TipoProgramaDescricao,DenominacaoPrograma,JustificativaPrograma,Funcao,Subfuncao,DescricaoAcao,TipoAcao,FinalidadeAcao,DescricaoDetalheAcao,ProdutoDaAcao,UnidadeMedida,RepresentacaoUnidade,FinalidadePadronizada,ModoExecucaoPadronizado,ProdutoPadronizado
2024 - 2027,Gestão Estratégica,Recursos sob a Supervisão da Secretaria de Finanças,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Execução dos pagamentos da dívida pública fundada interna e externa, realização de aportes periódicas ao RPPS estadual para cobrir o déficit atuarial do fundo capitalizado de previdência do Estado, quitação regular de precatórios e da contribuição ao PIS/PASEP.","O cumprimento pontual do pagamento da dívida pública fundada interna e externa, a realização de aportes periódicos ao RPPS estadual para suprir o déficit atuarial do fundo de previdência capitalizado do Estado, o pagamento regular de precatórios e da contribuição ao PIS/Pasep asseguram a solvência do Estado frente a seus credores. Essas ações também garantem a execução planejada e coordenada das operações do Estado, prevenindo medidas desnecessárias, assegurando o cumprimento das obrigações constitucionais e legais e mantendo o Estado em dia com suas Certidões Negativas de débitos junto à União e aos bancos. Ademais, uma administração adequada dessas responsabilidades contribui para a sustentabilidade fiscal do Estado, permitindo um crescimento contínuo e a alocação apropriada de recursos para políticas públicas.",Encargos Especiais,Outros Encargos Especiais,ASSEGURAR OS RECURSOS PARA OS APORTES PERIÓDICOS AO RPPS ESTADUAL,Operação Especial,Assegurar os recursos para a realização de aportes periódicas ao RPPS Estadual para cobrir o déficit atuarial do fundo de previdência capitalizado.,"Os recursos assegurados possibilitarão o equacionamento do déficit atuarial do fundo de previdência capitalizado do RPPS Estadual, sob responsabilidade do Poder.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Recursos sob a Supervisão da Secretaria de Finanças,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Execução dos pagamentos da dívida pública fundada interna e externa, realização de aportes periódicas ao RPPS estadual para cobrir o déficit atuarial do fundo capitalizado de previdência do Estado, quitação regular de precatórios e da contribuição ao PIS/PASEP.","O cumprimento pontual do pagamento da dívida pública fundada interna e externa, a realização de aportes periódicos ao RPPS estadual para suprir o déficit atuarial do fundo de previdência capitalizado do Estado, o pagamento regular de precatórios e da contribuição ao PIS/Pasep asseguram a solvência do Estado frente a seus credores. Essas ações também garantem a execução planejada e coordenada das operações do Estado, prevenindo medidas desnecessárias, assegurando o cumprimento das obrigações constitucionais e legais e mantendo o Estado em dia com suas Certidões Negativas de débitos junto à União e aos bancos. Ademais, uma administração adequada dessas responsabilidades contribui para a sustentabilidade fiscal do Estado, permitindo um crescimento contínuo e a alocação apropriada de recursos para políticas públicas.",Encargos Especiais,Serviço da Dívida Externa,ASSEGURAR OS RECURSOS PARA PAGAMENTO DA DÍVIDA FUNDADA EXTERNA,Operação Especial,"Assegurar os recursos para o pagamento e o gerenciamento da amortização, juros e encargos financeiros da dívida fundada externa.","Os recursos assegurados possibilitarão a amortização da dívida fundada externa assumida pelo Estado e o monitoramento do saldo a ser quitado, além do pagamento de juros e demais encargos, por meio dos lançamentos contábeis apropriados.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Recursos sob a Supervisão da Secretaria de Finanças,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Execução dos pagamentos da dívida pública fundada interna e externa, realização de aportes periódicas ao RPPS estadual para cobrir o déficit atuarial do fundo capitalizado de previdência do Estado, quitação regular de precatórios e da contribuição ao PIS/PASEP.","O cumprimento pontual do pagamento da dívida pública fundada interna e externa, a realização de aportes periódicos ao RPPS estadual para suprir o déficit atuarial do fundo de previdência capitalizado do Estado, o pagamento regular de precatórios e da contribuição ao PIS/Pasep asseguram a solvência do Estado frente a seus credores. Essas ações também garantem a execução planejada e coordenada das operações do Estado, prevenindo medidas desnecessárias, assegurando o cumprimento das obrigações constitucionais e legais e mantendo o Estado em dia com suas Certidões Negativas de débitos junto à União e aos bancos. Ademais, uma administração adequada dessas responsabilidades contribui para a sustentabilidade fiscal do Estado, permitindo um crescimento contínuo e a alocação apropriada de recursos para políticas públicas.",Encargos Especiais,Serviço da Dívida Interna,ASSEGURAR OS RECURSOS PARA PAGAMENTO DA DÍVIDA FUNDADA INTERNA,Operação Especial,"Assegurar os recursos para o pagamento da amortização, juros e encargos financeiros da dívida fundada interna.","Os recursos assegurados possibilitarão a amortização da dívida fundada interna assumida pelo Estado e o monitoramento do saldo a ser quitado, além do pagamento de juros e demais encargos, por meio dos lançamentos contábeis apropriados.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Recursos sob a Supervisão da Secretaria de Finanças,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Execução dos pagamentos da dívida pública fundada interna e externa, realização de aportes periódicas ao RPPS estadual para cobrir o déficit atuarial do fundo capitalizado de previdência do Estado, quitação regular de precatórios e da contribuição ao PIS/PASEP.","O cumprimento pontual do pagamento da dívida pública fundada interna e externa, a realização de aportes periódicos ao RPPS estadual para suprir o déficit atuarial do fundo de previdência capitalizado do Estado, o pagamento regular de precatórios e da contribuição ao PIS/Pasep asseguram a solvência do Estado frente a seus credores. Essas ações também garantem a execução planejada e coordenada das operações do Estado, prevenindo medidas desnecessárias, assegurando o cumprimento das obrigações constitucionais e legais e mantendo o Estado em dia com suas Certidões Negativas de débitos junto à União e aos bancos. Ademais, uma administração adequada dessas responsabilidades contribui para a sustentabilidade fiscal do Estado, permitindo um crescimento contínuo e a alocação apropriada de recursos para políticas públicas.",Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTO DE SENTENÇAS JUDICIAIS/PRECATÓRIOS,Operação Especial,Assegurar os recursos para pagamento dos precatórios devidos pelo Estado de Rondônia.,"Os recursos assegurados possibilitarão o cumprimento regular referente aos pagamentos de precatórios devidos pelo Estado de Rondônia, contribuindo para a solvência fiscal.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Recursos sob a Supervisão da Secretaria de Finanças,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Execução dos pagamentos da dívida pública fundada interna e externa, realização de aportes periódicas ao RPPS estadual para cobrir o déficit atuarial do fundo capitalizado de previdência do Estado, quitação regular de precatórios e da contribuição ao PIS/PASEP.","O cumprimento pontual do pagamento da dívida pública fundada interna e externa, a realização de aportes periódicos ao RPPS estadual para suprir o déficit atuarial do fundo de previdência capitalizado do Estado, o pagamento regular de precatórios e da contribuição ao PIS/Pasep asseguram a solvência do Estado frente a seus credores. Essas ações também garantem a execução planejada e coordenada das operações do Estado, prevenindo medidas desnecessárias, assegurando o cumprimento das obrigações constitucionais e legais e mantendo o Estado em dia com suas Certidões Negativas de débitos junto à União e aos bancos. Ademais, uma administração adequada dessas responsabilidades contribui para a sustentabilidade fiscal do Estado, permitindo um crescimento contínuo e a alocação apropriada de recursos para políticas públicas.",Encargos Especiais,Outros Encargos Especiais,ASSEGURAR RECURSOS PARA PAGAMENTO DO PASEP,Operação Especial,Assegurar recursos para o pagamento da contribuição ao PIS/Pasep devida pela administração direta do Estado de Rondônia.,"Os recursos assegurados possibilitarão a efetivação do pagamento da contribuição ao PIS/Pasep devida pela administração direta do Estado de Rondônia, por meio do reconhecimento das retenções realizadas na fonte e de recolhimentos mensais.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,"Secretaria de Estado do Planejamento, Orçamento e Gestão",Área Gestão,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Operações Especiais ,"Visa atender a alocação temporária de recursos durante o processo de elaboração orçamentária, a ser indicado pelos parlamentares até o limite individual e de bancada das emendas prevista no Projeto de Lei Orçamentária Anual, bem como, os passivos contingentes e outros riscos fiscais e eventos fiscais imprevistos, nos termos previstos na lei de diretrizes orçamentárias.",Encargos Especiais,Outros Encargos Especiais, OPERACIONALIZAR AS TRANSFERÊNCIAS ESPECIAIS NO ESTADO,Operação Especial,"Efetuar transferências especiais aos entes designados pelos parlamentares estaduais, em atenção ao art. 166-A  da Constituição Federal de 1988 e aos arts.135 - A e 136 - A, da Constituição Estadual de Rondônia.","A SEPOG operacionalizará o envio das transferências especiais sempre que demandado pelo poder legislativo, não existindo impedimentos de ordem técnica serão feitas transferências aos entes beneficiários nas especificações solicitadas no pedido parlamentar.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,"Secretaria de Estado do Planejamento, Orçamento e Gestão",Área Gestão,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Operações Especiais ,"Visa atender a alocação temporária de recursos durante o processo de elaboração orçamentária, a ser indicado pelos parlamentares até o limite individual e de bancada das emendas prevista no Projeto de Lei Orçamentária Anual, bem como, os passivos contingentes e outros riscos fiscais e eventos fiscais imprevistos, nos termos previstos na lei de diretrizes orçamentárias.",Reserva de Contingência,Reserva de Contingência,RESERVA DE CONTINGÊNCIA,Reserva de Contingência,Assegurar recursos para atendimento de passivos contingentes e outros riscos e eventos fiscais imprevistos,"Recurso orçamentário para pagamento de riscos financeiros decorrentes de ações trabalhistas, cíveis, previdenciárias,  indenizações por desapropriações e outras perdas e danos e outras obrigações imprevistos.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,"Secretaria de Estado do Planejamento, Orçamento e Gestão",Área Gestão,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Operações Especiais ,"Visa atender a alocação temporária de recursos durante o processo de elaboração orçamentária, a ser indicado pelos parlamentares até o limite individual e de bancada das emendas prevista no Projeto de Lei Orçamentária Anual, bem como, os passivos contingentes e outros riscos fiscais e eventos fiscais imprevistos, nos termos previstos na lei de diretrizes orçamentárias.",Encargos Especiais,Outros Encargos Especiais,ATENDER EMENDAS PARLAMENTARES,Operação Especial,Atender emendas parlamentares,Alocar recursos para atender emendas parlamentares,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Instituto de Previdência dos Servidores Públicos do Estado de Rondônia,Área Social,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Pagamento de despesas com sentenças judiciais (RPV e Precatórios) e PASEP.,Atender as sentenças judiciais e o PASEP.,Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTO DE SENTENÇAS JUDICIAIS REFERENTES A SERVIDORES ATIVOS E OUTROS (RPV E PRECATÓRIOS),Operação Especial,Pagamento de despesas judiciais previdenciárias (RPVs e Precatórios).,Despesas judiciais previdenciárias vinculadas ao montante de processos aptos para pagamento e/ou vinculado a receita.,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Instituto de Previdência dos Servidores Públicos do Estado de Rondônia,Área Social,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Pagamento de despesas com sentenças judiciais (RPV e Precatórios) e PASEP.,Atender as sentenças judiciais e o PASEP.,Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTOS DA CONTRIBUIÇÃO DO PASEP (PROGRAMA DE FORMAÇÃO DO PATRIMÔNIO DOS SERVIDORES PÚBLICOS),Operação Especial,Desenvolver atividades relacionadas com o pagamento do PASEP - Contribuição para Formação do Patrimônio do Servidor Público,Recolhimento mensal da contribuição legal e repasse ao Fundo de Formação do Patrimônio do Servidor Público.,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Procuradoria Geral do Estado,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Custear pagamentos de despesas de créditos devidos a particulares de decisões judiciais em favor de terceiros mediante Requisição de Pequeno Valor (RPV), exceto precatórios.","A Requisição de Pequeno Valor (RPV) representa uma obrigação a pagar após o trânsito em julgado de decisão judicial, o teto é estipulado pela Lei Estadual nº 1788/2007, que fixou em 10 Salários mínimos o limite para pagamento da RPV, e o prazo para pagamento é de 60 (sessenta) dias, e o presente programa visa realizar pagamentos de honorários em favor de advogados dativos, peritos, tradutores, intérpretes e órgãos técnicos ou científicos, eventualmente nomeados pelo Poder Judiciário para atuar em processos em que a parte for beneficiária da justiça gratuita, a fim de garantir o acesso à justiça aos que comprovarem carência de recursos e para pagamento de sentenças judiciais mediante RPV, exceto precatórios.",Administração,Outros Encargos Especiais,"REALIZAR PAGAMENTO DE ADVOGADOS DATIVOS, HONORÁRIOS EVENTUAIS, RPV E OUTROS PAGAMENTOS JUDICIAIS",Operação Especial,Custear pagamentos de despesas decorrentes de decisões judiciais em favor de terceiros mediante Requisição de Pequeno Valor (RPV).,"Assegurar o pagamento de créditos devidos a particulares, em cumprimento às decisões judiciais mediante Requisição de Pequeno Valor (RPV).",NULL,NULL,NULL,NULL,NULL,NULL
2025 - 2027,Gestão Estratégica,Procuradoria Geral do Estado,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Custear pagamentos de despesas de créditos devidos a particulares de decisões judiciais em favor de terceiros mediante Requisição de Pequeno Valor (RPV), exceto precatórios.","A Requisição de Pequeno Valor (RPV) representa uma obrigação a pagar após o trânsito em julgado de decisão judicial, o teto é estipulado pela Lei Estadual nº 1788/2007, que fixou em 10 Salários mínimos o limite para pagamento da RPV, e o prazo para pagamento é de 60 (sessenta) dias, e o presente programa visa realizar pagamentos de honorários em favor de advogados dativos, peritos, tradutores, intérpretes e órgãos técnicos ou científicos, eventualmente nomeados pelo Poder Judiciário para atuar em processos em que a parte for beneficiária da justiça gratuita, a fim de garantir o acesso à justiça aos que comprovarem carência de recursos e para pagamento de sentenças judiciais mediante RPV, exceto precatórios.",Administração,Outros Encargos Especiais,REALIZAR PAGAMENTO DE SENTENÇAS JUDICIAIS MEDIANTE REQUISIÇÃO DE PEQUENO VALOR (RPV),Operação Especial,Custear o pagamento de despesas decorrentes de decisões judiciais em favor de terceiros mediante Requisição de Pequeno Valor (RPV),"Assegurar o pagamento de créditos devidos a particulares, em cumprimento às decisões judiciais mediante Requisição de Pequeno Valor (RPV)",NULL,NULL,NULL,NULL,NULL,NULL
2025 - 2027,Gestão Estratégica,Procuradoria Geral do Estado,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Custear pagamentos de despesas de créditos devidos a particulares de decisões judiciais em favor de terceiros mediante Requisição de Pequeno Valor (RPV), exceto precatórios.","A Requisição de Pequeno Valor (RPV) representa uma obrigação a pagar após o trânsito em julgado de decisão judicial, o teto é estipulado pela Lei Estadual nº 1788/2007, que fixou em 10 Salários mínimos o limite para pagamento da RPV, e o prazo para pagamento é de 60 (sessenta) dias, e o presente programa visa realizar pagamentos de honorários em favor de advogados dativos, peritos, tradutores, intérpretes e órgãos técnicos ou científicos, eventualmente nomeados pelo Poder Judiciário para atuar em processos em que a parte for beneficiária da justiça gratuita, a fim de garantir o acesso à justiça aos que comprovarem carência de recursos e para pagamento de sentenças judiciais mediante RPV, exceto precatórios.",Administração,Outros Encargos Especiais,REALIZAR PAGAMENTO DE HONORÁRIOS EVENTUAIS,Operação Especial,"Realizar o pagamento de honorários a peritos, tradutores, intérpretes e órgãos técnicos ou científicos, eventualmente nomeados pelo Poder Judiciário para atuar em processos em que a parte for beneficiária da justiça gratuita.","Assegurar o pagamento de créditos devidos a particulares, em cumprimento às decisões judiciais mediante Requisição de Pequeno Valor (RPV).",NULL,NULL,NULL,NULL,NULL,NULL
2025 - 2027,Gestão Estratégica,Procuradoria Geral do Estado,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Custear pagamentos de despesas de créditos devidos a particulares de decisões judiciais em favor de terceiros mediante Requisição de Pequeno Valor (RPV), exceto precatórios.","A Requisição de Pequeno Valor (RPV) representa uma obrigação a pagar após o trânsito em julgado de decisão judicial, o teto é estipulado pela Lei Estadual nº 1788/2007, que fixou em 10 Salários mínimos o limite para pagamento da RPV, e o prazo para pagamento é de 60 (sessenta) dias, e o presente programa visa realizar pagamentos de honorários em favor de advogados dativos, peritos, tradutores, intérpretes e órgãos técnicos ou científicos, eventualmente nomeados pelo Poder Judiciário para atuar em processos em que a parte for beneficiária da justiça gratuita, a fim de garantir o acesso à justiça aos que comprovarem carência de recursos e para pagamento de sentenças judiciais mediante RPV, exceto precatórios.",Administração,Outros Encargos Especiais,REALIZAR PAGAMENTO DE ADVOGADOS DATIVOS,Operação Especial," É dever do Estado atender ao que determina a Constituição Federal em seu artigo 5º, inciso LXXIV, garantindo à assistência Jurídica Integral e gratuita aos que comprovarem insuficiência de recursos. Eventualmente se faz necessário a contratação de auxiliares da justiça para atuar em processo de natureza civil ou criminal, garantindo o devido processo legal, ampla defesa e o acesso à justiça aos que comprovarem carência de recursos.","Assegurar o pagamento de créditos devidos a particulares, em cumprimento às decisões judiciais mediante Requisição de Pequeno Valor (RPV)",NULL,NULL,NULL,NULL,NULL,NULL
